stage,n_factors,n_epochs,lr_all,reg_all,rmse,runtime_min
baseline,100,120,0.0025,0.05,0.8112292803561921,15.890119632085163
factors,80,120,0.0025,0.05,0.811546207497042,14.570212213198344
factors,120,120,0.0025,0.05,0.8112024262907451,17.40349682966868
factors,150,120,0.0025,0.05,0.8110948012032452,18.59852764606476
regularization,150,120,0.0025,0.035,0.8200661392247632,19.81275664965312
regularization,150,120,0.0025,0.04,0.8153920615960173,17.827499655882516
regularization,150,120,0.0025,0.045,0.8124856663234663,19.47456106742224
regularization,150,120,0.0025,0.055,0.8109981367058597,17.590560599168143
regularization,150,120,0.0025,0.06,0.8119771815861548,17.39398078521093
factors,175,120,0.0025,0.055,0.8107023119593616,20.191125430000344
factors,200,120,0.0025,0.055,0.8108313777087571,20.649852938333545
regularization_refinement,175,120,0.0025,0.0525,0.8106012265029859,21.302850538333587
regularization_refinement,175,120,0.0025,0.0575,0.8110612195970028,19.05290571500033
regularization_refinement,175,120,0.0025,0.05,0.8107828026778546,19.55311126333351
joint_optimization,175,100,0.002,0.0525,0.8170030074802678,16.13570093333304
joint_optimization,175,100,0.0025,0.0525,0.812840408607054,16.28969103499985
joint_optimization,175,100,0.003,0.0525,0.8108266997775814,16.182093218333225
joint_optimization,175,140,0.002,0.0525,0.8110988865165473,22.310622793333216
joint_optimization,175,140,0.0025,0.0525,0.8095041697923384,22.779406451666727
joint_optimization,175,140,0.003,0.0525,0.809112103638625,22.44001526500021
joint_optimization,175,180,0.002,0.0525,0.8091576464678519,29.31845328499961
joint_optimization,175,180,0.0025,0.0525,0.8087881034883925,29.46675253166661
joint_optimization,175,180,0.003,0.0525,0.8089797795214412,29.2522376116666
joint_optimization,175,220,0.002,0.0525,0.808592449885605,35.774455771666545
joint_optimization,175,220,0.0025,0.0525,0.8087425605669405,35.69629235999989
joint_optimization,175,220,0.003,0.0525,0.8091081928746635,33.90988348666676
joint_optimization,175,250,0.002,0.0525,0.8084958559215082,37.0463735366667
joint_optimization,175,250,0.0025,0.0525,0.808810705407884,37.12063096833347
joint_optimization,175,250,0.003,0.0525,0.8092044824637259,36.84731310500016
epoch_boundary,175,300,0.002,0.0525,0.8085312300611145,49.35414399500005
joint_optimization,160,250,0.002,0.05,0.8096558602688836,45.114461355000095
joint_optimization,160,250,0.002,0.0525,0.8087821711444451,50.70697641833297
joint_optimization,160,250,0.002,0.055,0.8081425485784027,49.55722966499986
joint_optimization,175,250,0.002,0.05,0.8093026294868663,51.27087008166661
joint_optimization,175,250,0.002,0.055,0.8079136722467606,47.20264116166654
joint_optimization,190,250,0.002,0.05,0.809122164401181,41.82704177500079
joint_optimization,190,250,0.002,0.0525,0.8083712114369899,43.84069941500008
joint_optimization,190,250,0.002,0.055,0.8078351860749187,39.83868979666634
joint_optimization,190,250,0.002,0.0575,0.8075037896156376,49.0174400133333
joint_optimization,190,250,0.002,0.06,0.8073684022061718,47.153259908333226
joint_optimization,205,250,0.002,0.055,0.8079910157494521,55.814543933334065
joint_optimization,205,250,0.002,0.0575,0.8076675654434793,54.44575580999954
